"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1480","Check displaying of empty courses list","LMS SYSTEM","Sat Apr 25 06:26:16 UTC 2026","passed","Sat Apr 25 06:26:18 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Sat Apr 25 06:26:22 UTC 2026","passed","Sat Apr 25 06:26:22 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Sat Apr 25 06:26:23 UTC 2026","passed","Sat Apr 25 06:26:23 UTC 2026","","test_markers","",""
"","3912","Check edit course","LMS SYSTEM","Sat Apr 25 06:26:18 UTC 2026","passed","Sat Apr 25 06:26:22 UTC 2026","Courses","Courses","",""
"","1359","Navigation from login page to registration page","LMS SYSTEM","Sat Apr 25 06:26:13 UTC 2026","passed","Sat Apr 25 06:26:14 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Sat Apr 25 06:26:22 UTC 2026","passed","Sat Apr 25 06:26:22 UTC 2026","TestUserAuthentication","test_markers","",""
"","1628","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:26:11 UTC 2026","passed","Sat Apr 25 06:26:13 UTC 2026","Authorization","Authentication","",""
"","1451","Check displaying of dashboard page","LMS SYSTEM","Sat Apr 25 06:26:23 UTC 2026","passed","Sat Apr 25 06:26:25 UTC 2026","Dashboard","Dashboard","",""
"","1765","Registration with correct email, username and password","LMS SYSTEM","Sat Apr 25 06:26:15 UTC 2026","passed","Sat Apr 25 06:26:16 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Sat Apr 25 06:26:23 UTC 2026","passed","Sat Apr 25 06:26:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","3580","Check create course","LMS SYSTEM","Sat Apr 25 06:26:18 UTC 2026","passed","Sat Apr 25 06:26:21 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Sat Apr 25 06:26:23 UTC 2026","passed","Sat Apr 25 06:26:23 UTC 2026","TestUserInterface","test_markers","",""
"","1561","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:26:09 UTC 2026","passed","Sat Apr 25 06:26:11 UTC 2026","Authorization","Authentication","",""
"","1455","User login with wrong email or password","LMS SYSTEM","Sat Apr 25 06:26:13 UTC 2026","passed","Sat Apr 25 06:26:14 UTC 2026","Authorization","Authentication","",""
"","3017","User login with correct email and password","LMS SYSTEM","Sat Apr 25 06:26:09 UTC 2026","passed","Sat Apr 25 06:26:12 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Sat Apr 25 06:26:22 UTC 2026","passed","Sat Apr 25 06:26:22 UTC 2026","","test_markers","",""
